matrix_dim, etime, flops, cores
1024, 0.985966, 2178050407.417700, 1
1024, 0.976502, 2199159497.881213, 1
1024, 0.970387, 2213017742.405865, 1
matrix_dim, etime, flops, cores
1024, 0.901445, 2382268078.474006, 1
1024, 0.925573, 2320166694.577305, 1
1024, 0.906169, 2369848944.291849, 1
matrix_dim, etime, flops, cores
1024, 0.829728, 2588177870.338232, 1
1024, 0.834696, 2572773378.571360, 1
1024, 0.814168, 2637641921.569013, 1
matrix_dim, etime, flops, cores
1024, 0.764964, 2807300275.568523, 1
1024, 0.770309, 2787821053.629128, 1
1024, 0.770614, 2786717666.691755, 1
matrix_dim, etime, flops, cores
1024, 0.730131, 2941230612.040853, 1
1024, 0.725884, 2958439155.567556, 1
1024, 0.704092, 3050004328.979736, 1
matrix_dim, etime, flops, cores
1024, 0.659211, 3257657484.477656, 1
1024, 0.684002, 3139586796.529835, 1
1024, 0.667769, 3215907968.174623, 1
matrix_dim, etime, flops, cores
1024, 0.623339, 3445129613.260201, 1
1024, 0.618577, 3471651302.909743, 1
1024, 0.621771, 3453817640.256622, 1
matrix_dim, etime, flops, cores
1024, 0.598074, 3590665449.425991, 1
1024, 0.574702, 3736690751.032710, 1
1024, 0.604763, 3550950782.372599, 1
matrix_dim, etime, flops, cores
1024, 0.547212, 3924408909.161349, 1
1024, 0.551670, 3892696082.803125, 1
1024, 0.545546, 3936393352.714529, 1
matrix_dim, etime, flops, cores
1024, 0.526896, 4075725851.021833, 1
1024, 0.520844, 4123084163.396334, 1
1024, 0.524312, 4095812508.582676, 1
matrix_dim, etime, flops, cores
1024, 9.248264, 232203973.415984, 1
1024, 9.518485, 225611917.022509, 1
1024, 9.228580, 232699250.372213, 1
matrix_dim, etime, flops, cores
1024, 0.501049, 4285975319.779104, 1
1024, 0.504294, 4258396189.524364, 1
1024, 0.491360, 4370489352.002605, 1
matrix_dim, etime, flops, cores
1024, 0.471333, 4556192008.622354, 1
1024, 0.473489, 4535445697.788122, 1
1024, 0.461139, 4656911794.491466, 1
matrix_dim, etime, flops, cores
1024, 0.471060, 4558832522.396297, 1
1024, 0.457097, 4698091757.329408, 1
1024, 0.446378, 4810908351.218026, 1
matrix_dim, etime, flops, cores
1024, 0.430046, 4993613818.056673, 1
1024, 0.422306, 5085136483.971339, 1
1024, 0.436674, 4917818894.644517, 1
matrix_dim, etime, flops, cores
1024, 0.407146, 5274480525.413488, 1
1024, 0.419289, 5121726656.315811, 1
1024, 0.410062, 5236973062.610044, 1
matrix_dim, etime, flops, cores
1024, 0.387414, 5543123500.957632, 1
1024, 0.401133, 5353545203.211903, 1
1024, 0.394109, 5448958658.645197, 1
matrix_dim, etime, flops, cores
1024, 0.383694, 5596865335.397478, 1
1024, 0.378334, 5676158230.558184, 1
1024, 0.382319, 5616994311.033457, 1
matrix_dim, etime, flops, cores
1024, 0.370988, 5788552858.852577, 1
1024, 0.370761, 5792096924.973230, 1
1024, 0.370043, 5803335417.775772, 1
matrix_dim, etime, flops, cores
1024, 0.712994, 3011923870.327099, 1
1024, 0.687538, 3123439937.865252, 1
1024, 0.688609, 3118582022.599182, 1
matrix_dim, etime, flops, cores
1024, 4.557928, 471153482.020778, 1
1024, 4.637862, 463033106.202815, 1
1024, 4.703244, 456596265.896475, 1
matrix_dim, etime, flops, cores
1024, 3.108187, 690911984.381892, 1
1024, 3.060095, 701770254.845029, 1
1024, 3.103217, 692018524.002672, 1
matrix_dim, etime, flops, cores
1024, 2.358108, 910680786.461010, 1
1024, 2.376886, 903486178.133911, 1
1024, 2.352623, 912803984.318780, 1
matrix_dim, etime, flops, cores
1024, 1.955627, 1098104929.007423, 1
1024, 1.876081, 1144664674.926083, 1
1024, 1.874033, 1145915599.138329, 1
matrix_dim, etime, flops, cores
1024, 1.597357, 1344398057.541301, 1
1024, 1.615851, 1329010934.795349, 1
1024, 1.601268, 1341114446.800910, 1
matrix_dim, etime, flops, cores
1024, 1.366856, 1571111842.066757, 1
1024, 1.381804, 1554115958.558522, 1
1024, 1.378724, 1557587775.363307, 1
matrix_dim, etime, flops, cores
1024, 1.237080, 1735929485.562777, 1
1024, 1.213778, 1769255702.443116, 1
1024, 1.224431, 1753862527.165679, 1
matrix_dim, etime, flops, cores
1024, 1.079681, 1988998276.342735, 1
1024, 1.090459, 1969339193.862401, 1
1024, 1.077694, 1992665495.029201, 1
